ts,open,high,low,close,volume,oi
2026-07-15 09:41:00+05:30,107.75,109.6,106.5,107.0,170365,4707105
2026-07-15 09:42:00+05:30,106.9,107.0,104.7,105.8,311935,4765540
2026-07-15 09:43:00+05:30,105.7,106.75,103.35,105.25,306735,4768140
2026-07-15 09:44:00+05:30,105.0,106.6,104.0,105.75,132145,4760145
2026-07-15 09:45:00+05:30,105.85,111.0,105.85,110.7,414830,4776200
2026-07-15 09:46:00+05:30,110.5,111.0,107.25,107.5,351650,4844515
2026-07-15 09:47:00+05:30,107.25,109.5,107.1,107.75,183235,4844515
2026-07-15 09:48:00+05:30,107.6,111.0,107.55,108.7,229580,4856735
2026-07-15 09:49:00+05:30,108.45,108.9,104.3,104.9,310895,4856735
2026-07-15 09:50:00+05:30,105.0,107.5,104.55,106.45,179725,4835090
2026-07-15 09:51:00+05:30,106.1,110.2,105.95,109.95,247325,4848415
2026-07-15 09:52:00+05:30,109.8,111.0,106.5,106.5,221520,4898855
2026-07-15 09:53:00+05:30,106.6,107.95,105.55,107.55,137085,4909320
2026-07-15 09:54:00+05:30,107.6,110.0,106.9,108.8,152425,4934020
2026-07-15 09:55:00+05:30,109.0,111.6,108.25,110.1,296075,4899505
2026-07-15 09:56:00+05:30,110.0,111.25,105.5,105.6,317850,4915430
2026-07-15 09:57:00+05:30,105.6,106.0,101.75,103.2,418015,4890145
2026-07-15 09:58:00+05:30,102.9,104.55,101.9,104.0,217945,4927975
2026-07-15 09:59:00+05:30,104.0,104.3,99.1,100.0,352755,4927975
2026-07-15 10:00:00+05:30,100.0,100.4,97.2,98.3,326560,4922125
2026-07-15 10:01:00+05:30,98.3,100.35,95.0,96.85,408005,4955990
2026-07-15 10:02:00+05:30,97.05,99.95,95.8,99.65,241085,4951505
2026-07-15 10:03:00+05:30,99.7,103.0,99.5,102.5,394225,4998825
2026-07-15 10:04:00+05:30,102.35,104.45,99.35,99.7,348725,5074160
2026-07-15 10:05:00+05:30,99.9,101.4,99.5,100.1,181675,5103475
2026-07-15 10:06:00+05:30,100.7,102.85,100.0,101.1,173680,5111860
2026-07-15 10:07:00+05:30,101.05,104.2,100.8,102.9,211315,5127915
2026-07-15 10:08:00+05:30,102.65,106.3,102.5,105.0,417885,5110820
2026-07-15 10:09:00+05:30,105.0,106.25,102.95,103.9,202540,5064020
2026-07-15 10:10:00+05:30,103.8,104.7,102.3,102.6,174980,5076565
2026-07-15 10:11:00+05:30,102.5,103.8,100.7,102.35,175760,5038865
2026-07-15 10:12:00+05:30,102.4,107.0,102.4,104.2,222950,5017675
2026-07-15 10:13:00+05:30,104.2,105.0,102.85,104.9,194480,5041270
2026-07-15 10:14:00+05:30,104.6,107.5,104.5,107.05,207220,5067400
2026-07-15 10:15:00+05:30,107.05,108.7,106.4,106.85,315770,5037890
2026-07-15 10:16:00+05:30,106.85,109.7,105.35,109.25,390325,5042440
2026-07-15 10:17:00+05:30,109.2,113.0,108.9,112.2,711100,4995965
2026-07-15 10:18:00+05:30,112.15,112.3,109.7,112.15,414115,4981405
2026-07-15 10:19:00+05:30,111.9,113.8,110.0,110.25,431145,5004610
2026-07-15 10:20:00+05:30,110.0,111.35,109.0,110.7,309205,4955925
2026-07-15 10:21:00+05:30,110.7,110.7,107.65,107.95,364325,4955925
2026-07-15 10:22:00+05:30,107.8,111.35,107.65,109.8,271245,4952675
2026-07-15 10:23:00+05:30,109.8,111.5,109.45,110.55,238615,4956640
2026-07-15 10:24:00+05:30,110.75,112.2,109.35,109.35,313885,4896905
2026-07-15 10:25:00+05:30,109.6,110.95,108.55,109.75,156715,4896905
2026-07-15 10:26:00+05:30,109.7,111.5,109.55,110.1,92885,4908085
2026-07-15 10:27:00+05:30,109.8,110.1,106.0,108.2,374400,4917640
2026-07-15 10:28:00+05:30,108.2,108.6,106.0,107.2,185120,4827745
2026-07-15 10:29:00+05:30,106.95,108.35,106.0,106.75,151580,4805385
2026-07-15 10:30:00+05:30,106.7,110.3,106.7,107.55,210600,4791995
2026-07-15 10:31:00+05:30,107.7,108.8,104.05,106.5,226135,4852445
2026-07-15 10:32:00+05:30,105.85,106.8,103.7,106.2,169260,4806620
2026-07-15 10:33:00+05:30,106.3,106.3,104.0,104.75,102115,4823325
2026-07-15 10:34:00+05:30,104.9,106.15,104.0,104.95,84825,4831515
2026-07-15 10:35:00+05:30,104.65,105.1,103.3,104.4,136565,4862650
2026-07-15 10:36:00+05:30,104.1,104.9,101.7,102.35,168155,4862650
2026-07-15 10:37:00+05:30,102.15,102.85,100.65,101.75,159445,4819360
2026-07-15 10:38:00+05:30,101.65,102.4,100.0,101.95,195455,4799275
2026-07-15 10:39:00+05:30,102.0,103.6,101.5,103.1,111735,4826705
2026-07-15 10:40:00+05:30,102.9,103.6,102.4,103.0,93080,4855565
2026-07-15 10:41:00+05:30,103.0,105.0,102.7,104.5,166205,4890080
2026-07-15 10:42:00+05:30,104.4,107.8,104.3,107.2,299715,4957550
2026-07-15 10:43:00+05:30,107.3,108.45,105.15,105.4,257010,5005455
